"field" "block_n" "trt_id" "entropy" "lower_ci" "upper_ci" "sigma" "mean_post" "posterior_prob"
"111" 2 6 6 1.33427556243793 -0.27009443175 2.6705858025 0.918821902064578 1.45112611757467 1
"112" 2 6 7 1.93809017524503 -3.2786608375 1.404812095 1.68060129326988 -0.661651582059333 0.91
"113" 2 6 8 1.69625484830103 -2.849234795 1.3580085025 1.31958370927443 -0.269293620153333 0.936666666666667
"114" 2 6 9 2.16604792833091 -3.0100918 2.6769942 2.11088944193017 -0.0288657871916667 0.926666666666667
"115" 2 6 10 2.19246219872539 0.10915572025 5.8613153375 2.16738997149366 2.91034261882333 1
"116" 2 6 11 0.99216924160118 1.30659933 4.052283945 0.652614098413281 2.14081477183333 1
"117" 2 6 12 1.61518189448552 -1.980718105 2.4216518925 1.21682299690734 1.35167042816333 1
"118" 2 6 13 1.30717525173975 3.0098818325 6.584096195 0.894255919398442 4.19379796133333 1
"119" 2 6 14 1.76242624091991 -0.402478468 3.248772065 1.40985619202257 1.50435470470988 1
"120" 2 6 15 1.04308845004255 -0.2403796065 2.8775274725 0.686705274009049 1.98116855747333 1
"121" 2 10 1 2.22111345191686 -5.5785234 0.345843541 2.23038656662702 -2.82537684871533 NA
"122" 2 10 2 1.23526251501888 -5.0985998925 -1.8342631025 0.832205379564162 -3.60829972766667 0.406666666666667
"123" 2 10 3 1.83809173580749 -5.0041549625 0.952182624249999 1.52067330805405 -1.630970425772 0.76
"124" 2 10 4 1.46232368556021 -3.23952008 0.562044840499999 1.04434004742989 -1.57432820216667 0.696666666666667
"125" 2 10 5 1.63863840335624 -4.4600932625 0.235548859249999 1.24570280188348 -2.2637102846 0.656666666666667
"126" 2 10 6 1.75109218744913 -2.9950185925 2.157663975 1.39396702100724 -0.954382309356667 0.81
"127" 2 10 7 1.751421302807 -3.23873637 1.8517361925 1.39442587246562 -0.538630407333333 0.753333333333333
"128" 2 10 8 1.64560667024805 -2.994781375 0.804828652 1.2544135054817 -0.449160504283333 0.676666666666667
"129" 2 10 9 1.07248692845543 1.7934017475 3.8442948875 0.707193043243788 3.14689632966667 1
"130" 2 10 10 2.22532150086103 -1.62362535 5.63459465 2.23979191767367 1.85436174008333 1
"131" 2 10 11 1.14104944832702 -0.00356823823999997 3.00497532 0.757380821842311 1.31402435085133 0.956666666666667
"132" 2 10 12 2.11746197139417 0.06665789045 5.6798824 2.01078147127362 3.592134782183 1
"133" 2 10 13 1.9999675519646 -3.6284273975 4.413642725 1.78787724372554 1.83322690252333 0.876666666666667
"134" 2 10 14 1.638887363554 0.54694841625 5.5947015 1.24601297090766 2.23033902458333 1
"135" 2 10 15 1.99871830389669 0.609273094 6.42419263 1.78564513605153 3.82765460703333 1
"136" 2 12 1 1.57641868261459 -8.91510894 -4.179421835 1.17055752149354 -6.13688580066667 NA
"137" 2 12 2 1.85444770279644 -7.083880715 -0.10204436695 1.54574990746404 -3.14955542706667 1
"138" 2 12 3 1.61843979415107 -4.0525970125 1.15393923 1.2207937487855 -0.9090908220999 1
"139" 2 12 4 1.83801096835249 -4.27399105 2.1171230275 1.5205504921009 -0.558903364384567 0.99
"140" 2 12 5 2.26790127172244 -7.095602145 -0.37495105 2.33722128455575 -3.42838485203333 0.86
"141" 2 12 6 1.84878638295155 -3.3066901175 1.35358455 1.53702364721958 -1.60684961542667 1
"142" 2 12 7 1.71801220243536 -2.4083234825 3.33904354 1.34860897079882 1.05594685382133 1
"143" 2 12 8 1.6438154819155 -1.071210775 2.4216967375 1.25216862574788 0.265542705463667 1
"144" 2 12 9 1.91637414028682 -3.20757119 3.1993967975 1.64449871800614 -0.590451784623333 1
"145" 2 12 10 1.85101145647293 -0.20718178625 5.134229865 1.54044744552764 1.70275194399 1
"146" 2 12 11 1.9332892190294 -1.1859929 3.93303341 1.67255213732813 0.67154996961 1
"147" 2 12 12 2.20325183049056 -0.474677025 6.6589328975 2.19090192574466 1.77628100449333 1
"148" 2 12 13 2.24322784557744 0.098628142 6.3042232525 2.28025963702872 3.08135299457 1
"149" 2 12 14 1.33740254829963 1.7851994225 5.740108795 0.921699541986624 3.62077027573333 1
"150" 2 12 15 1.9641146611316 2.1420963475 8.5547877125 1.72491216082674 5.37564373466667 1
"151" 2 15 1 1.42182377663717 -5.56732116 -1.2533651575 1.00288940975332 -3.7452366199 NA
"152" 2 15 2 1.41262756234269 -3.3303435025 1.2378656975 0.993708901488047 -1.73743343745 0.953333333333333
"153" 2 15 3 1.62407258598626 -3.2738263525 1.1953987525 1.2276896291425 -1.256099360725 0.926666666666667
"154" 2 15 4 1.60595998880743 -4.81383676 -0.37990844875 1.20565315278753 -2.2551898809 0.833333333333333
"155" 2 15 5 1.93373543245634 -4.6824873775 0.2419058265 1.67329861908177 -1.778309431325 0.87
"156" 2 15 6 2.02473260974881 -3.421628615 2.8206894 1.83270694081906 -0.306575360044667 0.923333333333333
"157" 2 15 7 1.65310487130253 -1.2711483 3.4878532025 1.26385470191144 1.118792638549 1
"158" 2 15 8 1.27497630313537 -1.179575795 1.8894844875 0.865920453197068 0.701991265526 1
"159" 2 15 9 1.68340681961563 -0.764173516 3.5938967925 1.30273810803609 0.94309633606 1
"160" 2 15 10 1.91831301382786 -2.52353482 2.865659365 1.64769028608239 0.217401297175333 0.976666666666667
"161" 2 15 11 2.1095933811149 -1.7006563225 4.82150059 1.99502154126526 1.19056748653233 0.986666666666667
"162" 2 15 12 1.75620417194216 -2.6475324925 2.4941930125 1.40111120372018 1.17314088038603 0.963333333333333
"163" 2 15 13 1.98984050959748 -1.00348141525 5.46730979749999 1.76986270608354 2.27298459751 0.996666666666667
"164" 2 15 14 1.51573441252128 1.3856760675 5.6642599925 1.10163548408163 3.4903675523 1
"165" 2 15 15 1.38786353375424 1.4302569825 4.9907922375 0.969402865667383 3.149568562 1
"166" 2 20 1 2.06725246927572 -7.2858151475 -1.41021489 1.91231382594888 -5.05494427733333 NA
"167" 2 20 2 2.1665552142566 -4.989020355 1.729040925 2.11196053808778 -2.33983166086333 0.983333333333333
"168" 2 20 3 2.32334905528001 -4.615707495 3.79047856 2.47047520315186 -0.512517453463333 0.88
"169" 2 20 4 1.59294786312763 -3.9350458175 1.2060459125 1.1900666689989 -1.66216624633433 0.87
"170" 2 20 5 2.01036681023009 -3.68336941 2.79945671 1.80656685152791 -0.581396073513667 0.92
"171" 2 20 6 2.01731157322332 -2.67209243 4.2563588475 1.81915669628681 0.917221824583333 0.99
"172" 2 20 7 2.00580455349277 -2.9390323175 3.8846658075 1.79834360228858 0.632839878116 0.976666666666667
"173" 2 20 8 1.7973779929553 -3.19704707 2.134178305 1.46000441509104 -0.254254404095667 0.996666666666667
"174" 2 20 9 1.85710236608164 -1.5960437025 4.57239857 1.54985880444743 1.75028757513 1
"175" 2 20 10 1.88792698215577 -1.6213664625 4.82896701499999 1.59837653572248 2.02281528221 0.983333333333333
"176" 2 20 11 1.76733085245276 -1.8280877375 4.29397565 1.41678797391488 1.63876981235 1
"177" 2 20 12 1.87651678860075 -0.831351665 4.8738741875 1.58024240379728 1.837996265947 1
"178" 2 20 13 2.57274937873861 -0.1457299547 9.91449935 3.17025125669073 5.67018294496 0.996666666666667
"179" 2 20 14 1.6668518782941 1.0733023525 6.8474394025 1.28134889220935 4.11359695124 1
"180" 2 20 15 1.94196829757321 0.39063873675 6.463568825 1.68713152500437 2.93117452683667 1
"181" 3 4 1 1.76033539691691 -6.778356055 -0.98796759825 1.40691148219559 -4.14238284363333 NA
"182" 3 4 2 1.7631174066562 -4.7196625125 0.18133078475 1.41083097314445 -1.0182127530101 0.943333333333333
"183" 3 4 3 2.25977553680821 -4.7937097825 2.4932208025 2.31830659590864 -1.790351302244 0.82
